country_iso3,gdp_us_dollar,inflation_rate,gdp_growth,colonizer,area,landlocked,continent,langoff_1,population,gdp_per_capita,life_expectancy,gni_atlas,agriculture_forestry_fishing_of_gdp,industry_of_gdp,merchandise_of_gdp,net_barter_of_trade,foreign_direct_investment_inflows,happiness
PRT,244797226567.0,3.65301100430729,-1.696164781,PRT,92389,0,Europe,Portuguese,10557560,23186.9131283278,80.4707317073171,239863725937.725,1.83401602752623,19.3449680402193,58.2167543311327,90.98701987,9821076889.908,0.779
PRY,33715524704.0,8.25396825396825,4.249111045,NONE,406752,1,America,Spanish,6333981,5329.38743682686,72.86,28372393236.168,14.1250204425197,33.7057682962777,59.6304586516203,113.2161519,463994000.0,0.755
QAT,167775268614.0,1.13836623529203,13.37517641,GBR,11437,0,Asia,Arabic,2035862,82409.9416434106,79.26,136293375595.567,0.0966060405058313,73.2142657935366,81.5233384096972,213.0959302,938516483.516483,0.833
RUS,2045925608274.0,8.44046485932559,4.300029186,NONE,17075400,0,Asia,Russian,142960908,14311.0843159612,69.6839024390244,1581315059114.0,3.1507257212962,29.4135888383738,41.3427544275876,194.4982951,55083630000.0,0.484
RWA,6884889636.0,3.1,7.958406046,DEU,26338,1,Africa,French,10293333,668.494672193863,64.523,6715587196.26133,23.8500827456247,18.1489624599224,36.3753245066492,181.854096,112127535.812557,0.708
SAU,671238840108.0,5.82621608838853,9.996846552,GBR,2153168,0,Asia,Arabic,28267591,23745.8805777495,74.089,590301258923.33,2.17142778334318,63.6763624880147,73.9356798723291,148.2665575,16308280000.0,0.689
SDN,57060450038.0,18.0966171221351,-1.967695859,GBR,2505813,0,Africa,Arabic,35349676,1437.77983086377,63.171,54781390214.4242,31.9629818007982,23.3344425286602,33.5606299632224,246.9933386,1734376994.48388,0.606
SEN,17902207622.0,3.40322829786967,1.458388671,FRA,196722,0,Africa,French,13033814,1366.77450070807,64.898,16952273724.0501,12.9470610352017,23.3061329625455,47.4394575995592,106.0818813,338661995.579347,0.775
SGP,279351168707.0,5.2477933984048,6.337870814,NONE,646,0,Asia,English,5183688,53890.4287270504,81.7439024390244,250305666349.915,0.0346645211472078,25.2604463868213,277.526313416792,81.87670111,49155657316.2946,0.572
SLE,2942546781.0,6.78819444444446,6.315045036,GBR,73326,0,Africa,English,6563238,448.337662148696,50.234,2804879453.52486,54.5934658718491,7.869629662271,70.245272337373,65.86315799,950477791.380298,0.295
SUR,4422276622.0,17.7117796414557,5.849367784,NONE,163820,0,America,Dutch,535177,8263.20380320348,70.676,4240262227.33456,8.73235538333795,35.1093274287296,92.8254912814835,140.5565891,145288761.2,0.656
SVK,99122802874.0,3.91928599146294,2.847218178,NONE,49036,1,Europe,Slovak,5398384,18361.5694760083,75.9585365853659,94151475568.686,2.1627257821802,31.0354117998344,161.338254531613,91.96647031,5431592591.915,0.589
SVN,51516366655.0,1.80285171941907,0.8613277327,NONE,20256,0,Europe,Slovenian,2052843,25095.1322896197,79.9707317073171,50448720263.6115,2.14260566834084,26.8088279393627,136.292608658633,94.35868968,875946337.676014,0.733
SWE,574094112973.0,2.96115073822139,3.195333235,NONE,449964,0,Europe,Swedish,9449213,60755.7595508465,81.8024390243903,535794524390.346,1.67048248278859,23.6323618761744,63.4023223326953,92.83549928,6979353755.44351,0.791
SWZ,4820499497.0,6.10742714590245,2.247229761,GBR,17364,1,Africa,Swati,1072029,4496.61296226253,48.141,4134675879.88919,9.71988478106542,36.7774895543568,80.0746893998211,119.0191438,98708321.7157849,0.815
TCD,12172309523.0,2.02924053678257,0.08286979844,FRA,1284005,1,Africa,French,12360986,984.736130484829,51.424,10947483947.616,51.1962001303935,12.6090044327778,66.5444793771431,217.8429308,281900000.0,0.515
TGO,3872459250.0,3.56351472903955,6.398199052,DEU,56785,0,Africa,French,6595939,587.097492827983,58.092,4056487873.27388,29.8750736235753,17.1220637287378,86.9215086051715,115.1477638,728710878.416044,0.362
THA,370819140947.0,3.80879058139634,0.8401320831,NONE,513115,0,Asia,Thai,67518379,5492.12149993341,74.593,334256150195.235,11.5917917775207,37.9813982711097,121.720523608315,93.82092079,2473685995.7,0.936
TJK,6522732203.0,12.4315490430408,7.400640543,NONE,143095,1,Asia,Tajik,7697507,847.382432066315,69.055,7848532740.44985,23.8355098416752,22.4687490647166,68.4222479390511,102.3762515,145883670.0,0.751
TKM,29233333333.0,5.3,14.69999993,NONE,488100,1,Asia,Turkmen,5174076,5649.96210595541,66.928,24454791710.4832,8.88435455800276,65.8692912440737,70.4675028506271,223.4511001,3391067000.0,0.596
TTO,25433011405.0,5.10713289264559,-0.294354409,NONE,5130,0,America,English,1336180,19034.1207062684,72.17,20001165158.6202,0.456542570355529,57.0510122828478,96.1545591683343,139.9827214,41047454.4570203,0.907
TUN,45810626509.0,3.24002842009523,-1.91717768,FRA,164150,0,Africa,Arabic,10741872,4264.6781221604,75.206,42814525247.0772,8.53467551114708,29.8067053069984,91.2430219468401,112.7946423,432666011.578487,0.571
TUR,838785707000.0,6.47187967115097,11.20011058,NONE,780576,0,Europe,Turkish,73443254,11420.5554558378,74.944,830733731579.224,8.17395626522538,26.8375169369019,44.7980072656482,89.02036285,16182000000.0,0.707
TZA,34657139495.0,12.6909694699163,7.672155435,DEU,945090,0,Africa,English,45673520,781.433895673281,59.525,33932106024.1436,24.9768644464588,26.3820840879288,44.821933449125,153.9072005,1229361018.44368,0.708
UGA,27752712167.0,15.1251539449716,9.391655493,GBR,241038,1,Africa,English,33476772,828.994112767086,58.087,28599612729.0697,28.821123716599,25.6551974840714,28.0700015655905,121.3141492,894293858.0,0.71
UKR,163159671670.0,7.95572466274646,5.465501846,NONE,603677,0,Europe,Ukrainian,45706086,3569.75812083898,70.8092682926829,142158543702.416,8.19659520719759,25.1092507563514,92.5804755879079,106.5521884,7207000000.0,0.47
URY,47962439303.0,8.09283206302989,5.162133022,NONE,176215,0,America,Spanish,3368926,14236.7149957359,76.882,40636375992.9768,8.82916199388321,22.7051202488207,38.8595748476717,104.9166011,2690094196.66277,0.75
USA,15542581104000.0,3.15684156862206,1.550835504,USA,9529106,0,America,English,311583481,49882.5581321495,78.6414634146341,15760432948941.8,1.21648753662505,19.4169009561953,24.1178217113198,94.59459459,263497000000.0,0.877
UZB,56516280748.0,12.4,7.784905864,NONE,447400,1,Asia,Uzbek,29339400,1926.29299673401,69.91,49139600378.1472,31.6232422641087,21.0597346344211,41.9808233766003,189.1797913,1615052149.82,0.786
VNM,135539438560.0,18.6777322770706,6.240302749,FRA,331114,0,Asia,Vietnamese,88871384,1525.11902548642,74.904,122032835939.376,19.5677511259479,32.2444134279177,150.255897592702,126.2725419,7430000000.0,0.637
YEM,32726417212.0,19.5435617131149,-12.71482302,NONE,547244,0,Asia,Arabic,23807586,1374.62140060517,65.768,25694375954.1752,8.53316922274811,46.4660961670498,64.0461186569839,171.4306854,-517842928.476896,0.551
ZAF,416418874936.0,5.01715773281268,3.284168142,GBR,1219912,0,Africa,English,52003759,8007.47643908404,58.895,363409170946.957,2.2854725377128,26.9425399457188,56.0121104106237,146.2948344,4139289122.68737,0.741
ZMB,23459515276.0,6.42939681072336,5.564602337,GBR,752614,1,Africa,English,14023199,1672.90753526193,57.126,19888203808.9244,9.64805782176724,34.4442819243584,68.9656193231028,197.4470404,1108500000.0,0.792
ZWE,14101920300.0,3.46612972817,14.19391296,GBR,390759,1,Africa,English,12894323,1093.65340855817,52.896,11891878067.9707,8.6658651729864,21.720292235661,81.5208124527551,111.413525,344300000.0,0.728
