country_iso3,gdp_us_dollar,inflation_rate,gdp_growth,colonizer,area,landlocked,continent,langoff_1,population,gdp_per_capita,life_expectancy,gni_atlas,agriculture_forestry_fishing_of_gdp,industry_of_gdp,merchandise_of_gdp,net_barter_of_trade,foreign_direct_investment_inflows,happiness
IRQ,185470085470.0,5.80145537085299,7.5464712,GBR,437072,0,Asia,Arabic,30725305,6045.4945669195,68.848,152546531890.741,4.56377343749618,62.5480287876873,70.5406388710808,238.5196939,2082000000.0,0.454
ISL,15158548263.0,4.00102664343116,1.88162028,NONE,102819,0,Europe,Icelandic,319014,47714.5922308485,82.3585365853659,11996825193.6397,6.60042661433499,22.3658536476198,66.9311022193534,88.72937642,1106958185.40328,0.907
ISR,261468634287.0,3.47857270934193,4.783497509,NONE,21621,0,Asia,Hebrew,7765800,33610.6940289761,81.6560975609756,244264259255.945,1.56785041493559,20.7463992737259,53.7883174443565,91.49836583,8653000000.0,0.713
ITA,2291991045770.0,2.78063272879324,0.707333347,ITA,301323,0,Europe,Italian,59379449,38599.0622070322,82.1878048780488,2250324124279.08,1.88342627816685,21.7497036250001,47.2098266699967,94.03176162,34465481829.5319,0.581
JAM,14444655300.0,7.55585646580907,1.730376267,NONE,10991,0,America,English,2825932,5111.46598710697,74.012,12978090979.6079,5.64728677796925,18.2490235366752,55.8130314128614,92.15338569,172757165.409787,0.834
JOR,29524149165.0,4.16244162927781,2.737179832,GBR,91862,0,Asia,Arabic,7662858,3852.89002548782,73.581,27766547042.4819,3.50500375059406,26.7946689561015,91.2337891894932,78.81172359,1486056338.02817,0.61
JPN,6157459594824.0,-0.267633600966946,-0.1154213398,JPN,377801,0,Asia,Japanese,127833000,48167.9972684965,82.5912195121951,5992371028551.48,1.0754189233601,26.8817083953574,27.260657973478,61.59802886,-850717035.068239,0.786
KAZ,192626507972.0,8.42488761919795,7.400000001,NONE,2717300,1,Asia,Kazakh,16557202,11634.0012021103,68.69,137043512953.322,4.9889741557576,37.2660880953566,62.9414929838657,232.0804198,13760291528.5034,0.654
KEN,41953433591.0,14.0224939638475,6.10826372,GBR,582646,0,Africa,English,43178270,971.633036511422,61.851,42878433152.7165,26.3046046638708,18.9069378338439,48.9542767822588,92.13262128,1450460112.22249,0.771
KGZ,6197766119.0,16.6363262731496,5.956274309,NONE,198500,1,Asia,Kyrgyz,5514600,1123.8831680627,69.6024390243903,4850547002.70823,16.56531665018,27.4490880946162,100.681437159668,128.2204491,685760800.0,0.657
KHM,12829541141.0,5.47858730411899,7.069569946,FRA,181035,0,Asia,Khmer,14541421,882.275613986936,67.043,11790473010.7872,34.5573140316336,22.1418106043407,124.743354607075,67.73943785,1538883424.90021,0.814
KOR,1253223044719.0,4.02584624959385,3.685667782,JPN,99484,0,Asia,Korean,49936638,25096.2638838239,80.5682926829269,1177848647578.97,2.20919995518876,34.4509672575549,86.1480328301884,51.05174842,9773000000.0,0.608
KWT,154068115942.0,4.8394034987095,9.628406975,GBR,17818,0,Asia,Arabic,3168054,48631.7834045849,74.55,138718795423.659,0.438823407677764,72.7057014119484,82.5563415391273,220.7903647,3259067552.4562,0.751
LBN,39927125961.0,4.97148571692381,0.8673398773,FRA,10452,0,Asia,Arabic,5202022,7675.30893971499,78.507,39350341123.556,3.80460970717627,14.5062160702885,66.1555255083281,98.07527278,3137050288.4,0.557
LBR,2398000000.0,8.48816751849397,8.20076584,USA,111369,0,Africa,English,4017446,596.89663532503,60.146,2100467508.25232,44.3005004170142,8.30011676396997,58.8407005838199,149.2426781,2086006933.33333,0.613
LBY,34699395524.0,15.5184815317562,-62.07591958,ITA,1759540,0,Africa,Arabic,6247438,5554.18005326459,71.956,29324434748.1896,1.0,80.0,77.9840674215495,209.0821118,0.0,0.631
LKA,65292753005.0,6.7167684358854,8.404733021,GBR,65610,0,Asia,Sinhala,20398496,3200.86113238282,75.614,58046838743.5935,8.83166396340375,27.9956667878927,46.7203458206856,99.79717962,955920000.0,0.848
LSO,2622336148.0,5.03663052101557,5.355154953,GBR,30355,1,Africa,English,2003793,1287.26953644869,46.207,2724709458.51853,4.54393031933864,33.1994946050199,142.357491199497,73.8478424,61173319.2085146,0.796
LTU,43582248870.0,4.13027562645087,6.03900816,NONE,65300,0,Europe,Lithuanian,3028115,14376.9478643932,73.5634146341464,40322490383.0204,3.49019426022174,28.0787490107662,137.413412785793,93.88788638,1880811089.20549,0.462
LUX,60004630234.0,3.4106834106834,2.539235768,NONE,2586,1,Europe,French,518347,115761.507705096,80.9878048780488,39529908915.6949,0.252350036648048,11.1886704688833,82.8702715202826,77.90731105,8843156716.781,0.86
